epoch,total_loss,data_loss,physics_loss
306,7.383145093917847,7.375198304653168,0.007935898112918949
307,7.432878732681274,7.432089745998383,0.0007809842445567483
308,7.445233702659607,7.42768257856369,0.017536405375722097
309,7.434351682662964,7.43108743429184,0.0032571871342952363
310,8.230956017971039,7.522136151790619,0.7088136519414547
311,7.409563362598419,7.404440224170685,0.005108637753437506
312,7.54568737745285,7.522937178611755,0.02272994276790996
313,17.19391041994095,7.384556293487549,9.80934301828529
314,7.391503751277924,7.380989491939545,0.01049885174506926
315,7.490067422389984,7.481832921504974,0.008219951840146678
316,14.973702311515808,7.404464602470398,7.569221165889758
317,7.44328236579895,7.440808534622192,0.002463099179294659
318,7.345175266265869,7.339227378368378,0.005931421601417242
319,7.960212051868439,7.3560990691185,0.6040969678360852
320,7.439328134059906,7.40093594789505,0.038379000638087746
321,9.25773561000824,7.515349447727203,1.742360664607986
322,7.435178995132446,7.355399012565613,0.07976383622008143
323,7.399259507656097,7.349057257175446,0.05018500942969695
324,7.356475353240967,7.3186511397361755,0.037807724525919184
325,7.611738562583923,7.528171002864838,0.08354023036372382
326,8.055178344249725,7.467395603656769,0.5877557089697802
327,7.429892361164093,7.414607405662537,0.015264183981344104
328,7.776529014110565,7.563717484474182,0.21279328442324186
329,8.656046330928802,7.369582891464233,1.286449051971431
330,7.433098018169403,7.398118555545807,0.03495947794363019
331,7.961441814899445,7.381215751171112,0.5802126519101876
332,7.304610908031464,7.3027573227882385,0.0018287241946381982
333,7.648927271366119,7.455178081989288,0.19373356829964905
334,7.30422842502594,7.274316668510437,0.029894179650000297
335,7.310700476169586,7.2862589955329895,0.024422232891083695
336,7.366440653800964,7.339319884777069,0.027103949771117186
337,7.313779413700104,7.278788864612579,0.03497275463814731
338,7.380096614360809,7.372343361377716,0.007731727437203517
339,7.213724851608276,7.194995224475861,0.018702244393352885
340,11.156196057796478,7.263806998729706,3.892360704328894
341,7.586763679981232,7.516076922416687,0.07065210623841267
342,7.362974584102631,7.301509499549866,0.061433147804564214
343,7.364589512348175,7.355915009975433,0.008656348940348835
344,7.320465922355652,7.29393196105957,0.026506850750593003
345,7.442827105522156,7.4327502846717834,0.010058668691272032
346,7.484429717063904,7.475469887256622,0.008939367660786957
347,7.468928277492523,7.454195439815521,0.014709333368955413
348,12.881960332393646,7.445495188236237,5.43643960924237
349,7.422149419784546,7.379221022129059,0.042904757834548946
350,7.508787453174591,7.501736283302307,0.0070221003152255435
351,7.656426548957825,7.3399375677108765,0.316455263275202
352,7.621135890483856,7.467389702796936,0.15372554884743295
353,7.433582782745361,7.42785519361496,0.005708877561119152
354,7.5992156863212585,7.362695276737213,0.23651070962660015
355,7.616956651210785,7.5923343896865845,0.02461106102782651
356,7.596184134483337,7.581305027008057,0.014873877129502944
357,8.96110063791275,7.428806960582733,1.5322853483594372
358,7.822375416755676,7.543843686580658,0.2785200483267545
359,7.4933836460113525,7.492721915245056,0.0006395467535185162
360,7.4014809131622314,7.395405173301697,0.006046677965059644
361,7.547900974750519,7.540644347667694,0.0072341544764640275
362,7.489481747150421,7.463946282863617,0.025522767384245526
363,7.306444704532623,7.303851664066315,0.0025718212164065335
364,7.42040491104126,7.418792486190796,0.0015907034612610005
365,7.4404385685920715,7.424826920032501,0.015583492549922084
366,7.876030206680298,7.531427979469299,0.3445766312943306
367,8.524146437644958,8.087819457054138,0.436293457300053
368,7.450059235095978,7.43791002035141,0.012105133562727133
369,30.54928344488144,7.527796685695648,23.021460349362314
370,7.609741568565369,7.363537788391113,0.24617163226139382
